system:index,B11_t27,B12_t27,B2_t27,B3_t27,B4_t27,B5_t27,B6_t27,B7_t27,B8A_t27,B8_t27,class,class_name,zone,.geo
3678_0,2739.5,2025.0,585.0,681.0,886.0,1100.5,1200.0,1334.5,1552.5,1354.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.21178527171995,35.72554969179131]}"
3679_0,2930.0,2275.5,642.5,730.0,850.5,1039.0,1180.0,1271.5,1497.5,1343.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.29838286510906,35.677579655619326]}"
3680_0,1623.0,1053.0,395.0,471.0,560.0,744.0,835.0,924.0,1095.0,997.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.63974267307448,35.738844757996276]}"
3681_0,3201.0,2421.0,660.0,824.0,978.0,1260.0,1432.0,1652.0,1905.0,1716.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.34006469429221,35.53780179741033]}"
3682_0,2486.0,1990.0,503.0,560.0,724.0,864.0,967.0,1094.0,1227.0,1166.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64531222783603,35.6788372970171]}"
3683_0,3205.0,2525.0,665.0,772.0,993.0,1179.0,1281.0,1427.5,1674.0,1461.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.23801607801623,35.61667387935602]}"
3684_0,2600.5,1971.5,1336.0,1383.0,1400.0,1629.0,1680.0,1775.5,1923.0,1958.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.2430466436073,35.49288603320436]}"
3685_0,2588.0,1867.5,712.5,895.0,1132.0,1312.0,1408.0,1527.5,1705.0,1621.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.74304893074823,35.55343248335401]}"
3687_0,3409.0,2657.0,891.0,1088.0,1378.0,1667.0,1735.0,1870.0,2065.0,1892.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32820693254183,35.786994457225084]}"
3688_0,3118.0,2269.0,824.0,957.0,1170.0,1454.0,1572.0,1663.0,1847.0,1556.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59734219166404,35.51175065417086]}"
3689_0,2421.0,1743.0,554.0,634.0,796.0,1022.0,1154.0,1295.0,1499.0,1334.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.63938334696084,35.65817604548234]}"
