pixel_id,class_name,zone,lon,lat,soil_ph,soil_clay,soil_organic,.geo
00000000000000000095,Corn,1,-90.63633012289262,35.48354188335352,6.0,17,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.46983445999465]}"
00000000000000000096,Corn,1,-90.56536352962702,35.711535720216204,6.2,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55025558379864,35.69441328102453]}"
00000000000000000097,Corn,1,-90.47768868471417,35.58415703952347,5.8,27,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.60458175261258]}"
00000000000000000098,Corn,1,-90.73352514855458,35.50887403643814,5.5,15,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72991864062256,35.514750224200625]}"
00000000000000000099,Corn,1,-90.54218512235121,35.74567013878034,6.0,13,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55025558379864,35.739329045230505]}"
0000000000000000009a,Corn,1,-90.52781343965596,35.745313410696056,6.0,13,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55025558379864,35.739329045230505]}"
0000000000000000009b,Corn,1,-90.78491182909448,35.56870179527222,6.1,25,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.77483440482852,35.55966598840661]}"
0000000000000000009c,Corn,1,-90.74574308544102,35.767591079559075,5.3,15,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72991864062256,35.78424480943649]}"
0000000000000000009d,Corn,1,-90.48325810192993,35.68854013608359,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.69441328102453]}"
0000000000000000009e,Corn,1,-90.54847245483657,35.74980372545688,6.0,13,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55025558379864,35.739329045230505]}"
